cve.id,cve.published,baseSeverityV31,cve.lastModified,cve.vulnStatus
CVE-2011-0346,2011-01-07T23:00:20.093,HIGH,2026-04-29T01:13:23.040,Modified
CVE-2011-0347,2011-01-07T23:00:20.390,,2026-04-29T01:13:23.040,Modified
CVE-2011-0004,2011-01-10T20:00:17.000,,2026-04-29T01:13:23.040,Modified
CVE-2011-0398,2011-01-10T20:00:17.140,,2026-04-29T01:13:23.040,Modified
CVE-2011-0399,2011-01-10T20:00:17.203,,2026-04-29T01:13:23.040,Modified
CVE-2011-0400,2011-01-10T20:00:17.423,,2026-04-29T01:13:23.040,Modified
CVE-2011-0401,2011-01-10T20:00:17.470,,2026-04-29T01:13:23.040,Modified
CVE-2011-0003,2011-01-11T03:00:05.017,,2026-04-29T01:13:23.040,Modified
CVE-2011-0005,2011-01-11T03:00:05.297,,2026-04-29T01:13:23.040,Modified
CVE-2011-0007,2011-01-11T03:00:05.360,,2026-04-29T01:13:23.040,Modified
CVE-2011-0402,2011-01-11T03:00:05.423,,2026-04-29T01:13:23.040,Modified
CVE-2011-0403,2011-01-11T03:00:05.483,,2026-04-29T01:13:23.040,Modified
CVE-2011-0404,2011-01-11T03:00:05.877,,2026-04-29T01:13:23.040,Modified
CVE-2011-0405,2011-01-11T03:00:05.953,,2026-04-29T01:13:23.040,Modified
CVE-2011-0406,2011-01-11T03:00:06.000,,2026-04-29T01:13:23.040,Modified
CVE-2011-0407,2011-01-11T03:00:06.110,,2026-04-29T01:13:23.040,Modified
CVE-2011-0026,2011-01-12T01:00:01.807,,2026-04-29T01:13:23.040,Modified
CVE-2011-0027,2011-01-12T01:00:01.887,,2026-04-29T01:13:23.040,Modified
CVE-2011-0314,2011-01-12T01:00:02.040,,2026-04-29T01:13:23.040,Modified
CVE-2011-0315,2011-01-12T01:00:02.103,,2026-04-29T01:13:23.040,Modified
CVE-2011-0316,2011-01-12T01:00:02.290,,2026-04-29T01:13:23.040,Modified
CVE-2011-0423,2011-01-12T01:00:02.353,,2026-04-29T01:13:23.040,Modified
CVE-2011-0443,2011-01-13T01:00:02.287,,2026-04-29T01:13:23.040,Modified
CVE-2011-0444,2011-01-13T01:00:02.553,,2026-04-29T01:13:23.040,Modified
CVE-2011-0445,2011-01-13T01:00:02.617,,2026-04-29T01:13:23.040,Modified
CVE-2011-0261,2011-01-13T19:00:05.133,,2026-04-29T01:13:23.040,Modified
CVE-2011-0262,2011-01-13T19:00:05.180,,2026-04-29T01:13:23.040,Modified
CVE-2011-0263,2011-01-13T19:00:05.227,,2026-04-29T01:13:23.040,Modified
CVE-2011-0264,2011-01-13T19:00:05.307,,2026-04-29T01:13:23.040,Modified
CVE-2011-0265,2011-01-13T19:00:05.383,,2026-04-29T01:13:23.040,Modified
CVE-2011-0266,2011-01-13T19:00:05.447,,2026-04-29T01:13:23.040,Modified
CVE-2011-0267,2011-01-13T19:00:05.493,,2026-04-29T01:13:23.040,Modified
CVE-2011-0268,2011-01-13T19:00:05.540,,2026-04-29T01:13:23.040,Modified
CVE-2011-0269,2011-01-13T19:00:05.587,,2026-04-29T01:13:23.040,Modified
CVE-2011-0270,2011-01-13T19:00:05.620,,2026-04-29T01:13:23.040,Modified
CVE-2011-0271,2011-01-13T19:00:05.713,,2026-04-29T01:13:23.040,Modified
CVE-2011-0310,2011-01-13T19:00:05.930,,2026-04-29T01:13:23.040,Modified
CVE-2011-0470,2011-01-14T17:00:02.607,,2026-04-29T01:13:23.040,Modified
CVE-2011-0471,2011-01-14T17:00:02.653,,2026-04-29T01:13:23.040,Modified
CVE-2011-0472,2011-01-14T17:00:02.700,,2026-04-29T01:13:23.040,Modified
