,Fiscal year,All R&D expenditures,Federal government,State and local government,Business,Nonprofit organizations,All other sourcesa
0,2001,10071307,9709221,19389,144043,na,198654
1,2002,11536424,11095110,31423,134251,na,275640
2,2003,12126880,11681318,33301,138685,na,273576
3,2004,12632207,12321652,29959,119843,na,160753
4,2005,13254522,12917206,32339,129036,na,175941
5,2006,13218497,12824552,30122,170879,na,192944
6,2007,13824987,13401081,32072,172592,na,219242
7,2008,15616390,15177347,32188,202534,na,204321
8,2009,16390111,15942851,35442,189721,na,222097
9,2010,18880609,18453552,52871,168561,23665,181960
10,2011,18671245,18276088,26744,190111,38878,139424
11,2012,18280943,17875012,39428,184434,45926,136143
12,2013,17667184,17284513,50449,186911,39390,105921
13,2014,17718556,17331396,28337,220735,37182,100906
14,2015,18458257,18097189,18427,208780,27984,105877
15,2016,19219702,18855593,21556,192239,40195,110119
16,2017,20038307,19667804,29029,192107,46526,102841
17,2018,21171529,20770388,43458,197975,43630,116078
18,2019,22737500,22338855,51167,180583,48238,118657
19,2020,23514241,23133501,43995,172866,47056,116823
20,2021,24921476,24509691,43774,195954,49016,123041
21,2022,26006971,25605479,38591,207483,49169,106249
22,2023,29316897,28880018,35407,224361,42429,134682
23,2024,31724628,31246822,34691,239738,52739,150638
