,Year,Total All R&D Expenditures,Total Basic Research Amount,Total Basic Research Percent,Total Applied Research Amount,Total Applied Research Percent,Total Experimental Development Amount,Total Experimental Development Percent,Federally Financed R&D Expenditures,Federally Financed Basic Research Amount,Federally Financed Basic Research Percent,Federally Financed Applied Research Amount,Federally Financed Applied Research Percent,Federally Financed Experimental Development Amount,Federally Financed Experimental Development Percent
0,2001,10071,3875,38.5,na,na,na,na,9709,3726,38.4,na,na,na,na
1,2002,11536,4744,41.1,na,na,na,na,11095,4523,40.8,na,na,na,na
2,2003,12127,5122,42.2,na,na,na,na,11681,4880,41.8,na,na,na,na
3,2004,12632,4931,39.0,na,na,na,na,12322,4790,38.9,na,na,na,na
4,2005,13255,5110,38.5,na,na,na,na,12917,4977,38.5,na,na,na,na
5,2006,13218,5197,39.3,na,na,na,na,12825,5048,39.4,na,na,na,na
6,2007a,13825,5296,38.3,3479,25.2,4411,31.9,13401,5151,38.4,3314,24.7,4319,32.2
7,2008,15616,5379,34.4,3992,25.6,6245,40,15177,5210,34.3,3825,25.2,6143,40.5
8,2009,16390,5871,35.8,4545,27.7,5974,36.4,15943,5714,35.8,4346,27.3,5884,36.9
9,2010,18881,6655,35.2,5191,27.5,7034,37.3,18454,6487,35.2,5031,27.3,6935,37.6
10,2011,18671,6582,35.3,5175,27.7,6914,37,18276,6439,35.2,5006,27.4,6830,37.4
11,2012,18281,6153,33.7,5382,29.4,6746,36.9,17875,6013,33.6,5209,29.1,6653,37.2
12,2013,17667,4186,23.7,6818,38.6,6663,37.7,17285,4081,23.6,6636,38.4,6568,38
13,2014,17719,4195,23.7,6839,38.6,6684,37.7,17331,4098,23.6,6648,38.4,6585,38
14,2015,18458,4094,22.2,7292,39.5,7072,38.3,18097,4012,22.2,7118,39.3,6968,38.5
15,2016,19220,4224,22.0,7527,39.2,7468,38.9,18856,4136,21.9,7373,39.1,7347,39
16,2017,20038,4111,20.5,7931,39.6,7996,39.9,19668,4039,20.5,7756,39.4,7873,40
17,2018,21172,4180,19.7,8391,39.6,8600,40.6,20770,4099,19.7,8205,39.5,8466,40.8
18,2019,22738,4536,19.9,9200,40.5,9002,39.6,22339,4455,19.9,9014,40.4,8869,39.7
19,2020,23514,4712,20.0,9433,40.1,9369,39.8,23134,4637,20.0,9257,40,9239,39.9
20,2021,24921,5021,20.1,9951,39.9,9949,39.9,24510,4945,20.2,9765,39.8,9799,40
21,2022,26007,5232,20.1,10369,39.9,10407,40,25605,5159,20.1,10185,39.8,10261,40.1
22,2023,29317,5856,20.0,11922,40.7,11539,39.4,28880,5771,20.0,11715,40.6,11394,39.5
23,2024,31725,6495,20.5,12372,39,12857,40.5,31247,6390,20.5,12152,38.9,12705,40.7
